#Año  inicial y final
1967	2025																																					
					
#Numero de edades  edad_reclutas																									
10	3																																										
#Año	Y_T	cv_T	Y_B	cv_B	CPUE_T	cv_I_T	CPUE_B	cv_I_B	nm_T	nm_B
1967	222	0.05	78	0.05	0	0.15	0	0.15	0	0
1968	888	0.05	312	0.05	0	0.15	0	0.15	0	0
1969	888	0.05	312	0.05	0	0.15	0	0.15	0	0
1970	1776	0.05	624	0.05	0	0.15	0	0.15	0	0
1971	1480	0.05	520	0.05	0	0.15	0	0.15	0	0
1972	666	0.05	234	0.05	0	0.15	0	0.15	0	0
1973	444	0.05	156	0.05	0	0.15	0	0.15	0	0
1974	786	0.05	276	0.05	0	0.15	0	0.15	0	0
1975	1545	0.05	543	0.05	0	0.15	0	0.15	0	0
1976	1450	0.05	509	0.05	0	0.15	0	0.15	0	0
1977	1423	0.05	500	0.05	0	0.15	0	0.15	0	0
1978	1883	0.05	661	0.05	0	0.15	0	0.15	0	0
1979	2537	0.05	892	0.05	0	0.15	0	0.15	0	0
1980	1627	0.05	571	0.05	0	0.15	0	0.15	0	0
1981	1472	0.05	517	0.05	0	0.15	0	0.15	0	0
1982	1250	0.05	439	0.05	0	0.15	0	0.15	0	0
1983	2910	0.05	1022	0.05	0	0.15	0	0.15	0	0
1984	2270	0.05	798	0.05	0	0.15	0	0.15	0	0
1985	3008	0.05	1057	0.05	0	0.15	0	0.15	0	0
1986	3937	0.05	1383	0.05	0	0.15	0	0.15	0	0
1987	3308	0.05	1162	0.05	0	0.15	0	0.15	0	0
1988	3616	0.05	1271	0.05	0	0.15	0	0.15	0	0
1989	3292	0.05	1157	0.05	0	0.15	0	0.15	0	0
1990	2961	0.05	1041	0.05	0	0.15	0	0.15	0	0
1991	2833	0.05	995	0.05	0	0.15	0	0.15	0	0
1992	3004	0.05	1055	0.05	0	0.15	0	0.15	0	0
1993	2320	0.05	815	0.05	0	0.15	0	0.15	0	0
1994	2433	0.05	855	0.05	0	0.15	0	0.15	0	0
1995	2791	0.05	980	0.05	0	0.15	0	0.15	0	0
1996	3219	0.05	1131	0.05	0	0.15	0	0.15	0	0
1997	2611	0.05	917	0.05	0	0.15	0	0.15	0	0
1998	2746	0.05	965	0.05	0	0.15	0	0.15	0	0
1999	3421	0.05	1202	0.05	0	0.15	0	0.15	0	0
2000	1991	0.05	700	0.05	0	0.15	0	0.15	0	0
2001	2284	0.05	803	0.05	0	0.15	0	0.15	0	0
2002	2648	0.05	930	0.05	0	0.15	0	0.15	0	0
2003	3097	0.05	1088	0.05	0	0.15	0	0.15	0	0
2004	3562	0.05	1252	0.05	0	0.15	0	0.15	0	0
2005	3449	0.05	1212	0.05	0	0.15	0	0.15	0	0
2006	3292	0.05	1156	0.05	0	0.15	0	0.15	0	0
2007	2352	0.05	827	0.05	0	0.15	0	0.15	0	0
2008	3178	0.05	1117	0.05	0	0.15	0	0.15	0	0
